id;code;name
1;NPRG042;Programování v paralelním prostředí
2;NSWI170;Počítačové systémy
3;NPRG051;Pokročilé programování v C++
4;NSWI098;Principy překladačů
5;NSWI153;Pokročilé programování webových aplikací
